Date,New_Lows,Total_Issues,New_Lows_Ratio
2025-01-23,119,5213,2.282754651831959
2025-01-24,64,5214,1.2274645186037592
2025-01-27,118,5214,2.263137706175681
2025-01-28,142,5218,2.721349175929475
2025-01-29,139,5217,2.6643664941537284
2025-01-30,118,5222,2.2596706242818843
2025-01-31,108,5225,2.0669856459330145
2025-02-03,261,5228,4.992348890589136
2025-02-04,142,5228,2.7161438408569243
2025-02-05,104,5233,1.9873877317026563
2025-02-06,106,5236,2.024446142093201
2025-02-07,199,5238,3.799159984726995
2025-02-10,209,5238,3.990072546773578
2025-02-11,245,5239,4.676464974231723
2025-02-12,256,5240,4.885496183206107
2025-02-13,132,5245,2.5166825548141087
2025-02-14,94,5246,1.7918414029736942
2025-02-18,132,5250,2.5142857142857142
2025-02-19,150,5251,2.856598743096553
2025-02-20,165,5254,3.140464408070042
2025-02-21,192,5255,3.653663177925785
2025-02-24,270,5256,5.136986301369863
2025-02-25,336,5258,6.390262457208064
2025-02-26,239,5259,4.54459022627876
2025-02-27,363,5261,6.899828929861243
2025-02-28,426,5261,8.097319901159475
2025-03-03,562,5261,10.68237977570804
2025-03-04,770,5262,14.633219308247813
2025-03-05,217,5262,4.123907259597112
2025-03-06,195,5265,3.7037037037037033
2025-03-07,191,5269,3.6249762763332702
2025-03-10,334,5269,6.3389637502372365
2025-03-11,428,5269,8.122983488327955
2025-03-12,257,5269,4.877585879673562
2025-03-13,410,5270,7.7798861480075905
2025-03-14,184,5271,3.490798709922216
2025-03-17,113,5272,2.1433990895295905
2025-03-18,146,5272,2.7693474962063735
2025-03-19,118,5272,2.2382397572078907
2025-03-20,119,5272,2.2572078907435507
2025-03-21,226,5274,4.28517254455821
2025-03-24,96,5275,1.8199052132701423
2025-03-25,165,5275,3.1279620853080567
2025-03-26,229,5278,4.33876468359227
2025-03-27,224,5278,4.244031830238726
2025-03-28,404,5280,7.6515151515151505
2025-03-31,692,5282,13.101098068913291
2025-04-01,473,5285,8.949858088930936
2025-04-02,339,5287,6.411953849063741
2025-04-03,957,5289,18.094157685762905
2025-04-04,1584,5289,29.948950652297217
2025-04-07,1627,5292,30.74452003023432
2025-04-08,924,5293,17.457018703948613
2025-04-09,1080,5294,20.400453343407634
2025-04-10,200,5298,3.7750094375235936
2025-04-11,222,5299,4.189469711266277
2025-04-14,111,5299,2.0947348556331384
2025-04-15,100,5300,1.8867924528301887
2025-04-16,193,5300,3.6415094339622645
2025-04-17,145,5303,2.7343013388647934
2025-04-21,223,5308,4.20120572720422
2025-04-22,73,5309,1.3750235449237145
2025-04-23,38,5309,0.7157656809191938
2025-04-24,49,5309,0.9229610096063289
2025-04-25,49,5310,0.9227871939736346
2025-04-28,52,5310,0.9792843691148776
2025-04-29,66,5310,1.2429378531073447
2025-04-30,105,5311,1.9770288081340615
2025-05-01,71,5312,1.3365963855421685
2025-05-02,50,5316,0.9405568096313018
2025-05-05,66,5316,1.2415349887133182
2025-05-06,128,5316,2.407825432656132
2025-05-07,143,5317,2.689486552567237
2025-05-08,121,5320,2.274436090225564
2025-05-09,114,5320,2.142857142857143
2025-05-12,50,5322,0.9394964299135663
2025-05-13,86,5325,1.6150234741784035
2025-05-14,102,5326,1.9151333082989113
2025-05-15,103,5327,1.9335460859770979
2025-05-16,70,5330,1.3133208255159476
2025-05-19,56,5331,1.0504595760645283
2025-05-20,44,5331,0.8253610954792722
2025-05-21,110,5332,2.0630157539384846
2025-05-22,134,5334,2.512185976752906
2025-05-23,120,5337,2.2484541877459248
2025-05-27,64,5339,1.1987263532496721
2025-05-28,75,5339,1.4047574452144596
2025-05-29,79,5339,1.479677842292564
2025-05-30,93,5341,1.7412469574985958
2025-06-02,107,5345,2.001870907390084
2025-06-03,74,5346,1.3842124953236064
2025-06-04,32,5347,0.5984664297737049
2025-06-05,43,5350,0.8037383177570092
2025-06-06,36,5353,0.672520082196899
2025-06-09,43,5356,0.8028379387602689
2025-06-10,45,5358,0.8398656215005599
2025-06-11,45,5360,0.8395522388059702
2025-06-12,62,5365,1.1556383970177073
2025-06-13,139,5367,2.5899012483696664
2025-06-16,129,5370,2.4022346368715084
2025-06-17,132,5371,2.457642897039657
2025-06-18,109,5373,2.0286618276568023
2025-06-20,113,5375,2.1023255813953488
2025-06-23,137,5381,2.5459951681843522
2025-06-24,67,5384,1.2444279346210996
2025-06-25,74,5386,1.3739324173783884
2025-06-26,73,5390,1.3543599257884973
2025-06-27,71,5392,1.3167655786350148
2025-06-30,72,5393,1.335063971815316
2025-07-01,59,5394,1.0938079347423062
2025-07-02,44,5398,0.8151167098925528
2025-07-03,18,5398,0.33345683586513525
2025-07-07,57,5401,1.0553601184965746
2025-07-08,43,5404,0.7957068837897853
2025-07-09,38,5405,0.7030527289546716
2025-07-10,31,5406,0.5734369219385868
2025-07-11,35,5409,0.6470696986503974
2025-07-14,62,5410,1.146025878003697
2025-07-15,71,5414,1.311414850387883
2025-07-16,76,5417,1.4029905851947573
2025-07-17,31,5418,0.5721668512366187
2025-07-18,62,5418,1.1443337024732374
2025-07-21,65,5421,1.1990407673860912
2025-07-22,32,5422,0.5901881224640354
2025-07-23,17,5428,0.31319086219602066
2025-07-24,44,5431,0.8101638740563432
2025-07-25,56,5433,1.0307380820909258
2025-07-28,50,5433,0.9203018590097553
2025-07-29,85,5433,1.564513160316584
2025-07-30,108,5437,1.9863895530623505
2025-07-31,167,5440,3.0698529411764706
